location,lon,lat,population,ID,ID_Gem,Ai_walk_correct,Ai_walk_optimum,Ai_z_norm_correct,Ai_z_norm_optimized
404,8.55965,47.28834,129,14101007,141,0.00156367994405471,0.00107203148735131,0.00114643712868461,8.615460343631541e-4
405,8.559668,47.28924,119,14101007,141,0.00184030448740999,0.00100103312039884,0.00114643712868461,8.615460343631541e-4
406,8.559687,47.29014,86,14101007,141,0.00244696390950446,0.00121622780179807,0.00114643712868461,8.615460343631541e-4
407,8.559706,47.29104,121,14101005,141,0.00271840673216635,0.00139730312136052,0.002905909005742399,0.0014612363827568274
408,8.559725,47.29194,137,14101005,141,0.00316485747579756,0.00148208185311436,0.002905909005742399,0.0014612363827568274
409,8.559744,47.29284,55,14101005,141,0.00356404403009767,0.00158359255783096,0.002905909005742399,0.0014612363827568274
410,8.559763,47.29374,124,14101005,141,0.00311914694163194,0.00154875518906494,0.002905909005742399,0.0014612363827568274
411,8.559782,47.29464,119,14101005,141,0.00312040728816805,0.00153273224110105,0.002905909005742399,0.0014612363827568274
412,8.559801,47.29554,95,14101005,141,0.00348262351534577,0.00154624141713357,0.002905909005742399,0.0014612363827568274
413,8.55982,47.29644,90,14101006,141,0.00371542685807481,0.00153302996065509,0.0037228429613684576,0.001364685023992323
414,8.559838,47.29734,114,14101006,141,0.00347391013502835,0.00142276271923238,0.0037228429613684576,0.001364685023992323
415,8.559857,47.29824,96,14101006,141,0.00371041836491359,0.00133611736116351,0.0037228429613684576,0.001364685023992323
416,8.559876,47.29914,40,14101006,141,0.00349817885396295,0.00117859241712895,0.0037228429613684576,0.001364685023992323
417,8.559895,47.30003,142,14101006,141,0.00336522153855004,9.6015413362546e-4,0.0037228429613684576,0.001364685023992323
418,8.559914,47.30093,124,14101009,141,0.00293500013238927,9.5839163589148e-4,0.0034183322994732106,9.089930929368135e-4
419,8.559933,47.30183,83,14101009,141,0.00247716162550788,8.3645692938072e-4,0.0034183322994732106,9.089930929368135e-4
420,8.559952,47.30273,12,13901005,139,0.00184064769450221,7.4338159865628e-4,0.0012693328279513557,9.749546958422019e-4
421,8.560915,47.28563,15,14101007,141,2.735721179997e-4,6.2809539175107e-4,0.00114643712868461,8.615460343631541e-4
422,8.560934,47.28653,28,14101007,141,7.8775938772997e-4,7.9756959130405e-4,0.00114643712868461,8.615460343631541e-4
423,8.560952,47.28743,90,14101007,141,0.00131593869186716,9.2443391264661e-4,0.00114643712868461,8.615460343631541e-4
424,8.560971,47.28833,116,14101005,141,0.00158242565796506,0.00123513818315367,0.002905909005742399,0.0014612363827568274
425,8.56099,47.28923,20,14101005,141,0.00192078503808433,0.00127217113447716,0.002905909005742399,0.0014612363827568274
426,8.561009,47.29013,40,14101005,141,0.00164593693935976,0.0010978487103246,0.002905909005742399,0.0014612363827568274
427,8.561028,47.29103,38,14101005,141,0.00277412325497323,0.00142607269639742,0.002905909005742399,0.0014612363827568274
428,8.561047,47.29193,97,14101005,141,0.00342292718072832,0.00164055597956923,0.002905909005742399,0.0014612363827568274
429,8.561066,47.29283,149,14101005,141,0.00369475222402618,0.00166306293547365,0.002905909005742399,0.0014612363827568274
430,8.561085,47.29373,95,14101005,141,0.00388408497989249,0.00162638199029722,0.002905909005742399,0.0014612363827568274
431,8.561104,47.29463,84,14101006,141,0.00399762863762915,0.00172639153454156,0.0037228429613684576,0.001364685023992323
432,8.561123,47.29552,61,14101006,141,0.0040708852262463,0.00157877719243269,0.0037228429613684576,0.001364685023992323
433,8.561142,47.29642,172,14101006,141,0.00400163516624768,0.00148708398482178,0.0037228429613684576,0.001364685023992323
434,8.56116,47.29732,115,14101006,141,0.00390388264934752,0.00136641995705329,0.0037228429613684576,0.001364685023992323
435,8.561179,47.29822,58,14101006,141,0.00385063773934227,0.0012826184435509,0.0037228429613684576,0.001364685023992323
436,8.561198,47.29912,88,14101009,141,0.00371680580436333,9.1804809531553e-4,0.0034183322994732106,9.089930929368135e-4
437,8.561217,47.30002,149,14101009,141,0.00329843925695481,8.0627966528851e-4,0.0034183322994732106,9.089930929368135e-4
438,8.561236,47.30092,53,14101009,141,0.00273083998905279,6.3911423742441e-4,0.0034183322994732106,9.089930929368135e-4
439,8.562217,47.28472,3,14101007,141,0,4.792983441138e-4,0.00114643712868461,8.615460343631541e-4
440,8.562255,47.28652,55,14101007,141,9.8495693857212e-4,9.2828404165771e-4,0.00114643712868461,8.615460343631541e-4
441,8.562274,47.28742,31,14101010,141,0.00146017411855986,9.860245434328e-4,0.0018090311070793337,0.001138596956149763
442,8.562293,47.28832,128,14101005,141,0.00182389605156493,0.00127089731683993,0.002905909005742399,0.0014612363827568274
443,8.562312,47.28922,104,14101005,141,0.00224579084925767,0.00132339343764071,0.002905909005742399,0.0014612363827568274
444,8.562331,47.29012,42,14101005,141,0.0025896992005941,0.00139835392443518,0.002905909005742399,0.0014612363827568274
445,8.56235,47.29102,26,14101005,141,0.00223314821959225,0.00129960894102893,0.002905909005742399,0.0014612363827568274
446,8.562369,47.29191,119,14101005,141,0.00345918592619124,0.00162009711431638,0.002905909005742399,0.0014612363827568274
447,8.562388,47.29281,127,14101008,141,0.00383378983860278,0.00173785672873513,0.003870548965471613,0.0015107839011659508
448,8.562407,47.29371,97,14101008,141,0.00409142995628935,0.00168081225958007,0.003870548965471613,0.0015107839011659508
449,8.562426,47.29461,91,14101006,141,0.00410806403232301,0.00161841151939745,0.0037228429613684576,0.001364685023992323
450,8.562445,47.29551,84,14101006,141,0.00417768111621593,0.00151638320319304,0.0037228429613684576,0.001364685023992323
451,8.562464,47.29641,44,14101006,141,0.00415400441172205,0.00136164103561127,0.0037228429613684576,0.001364685023992323
452,8.562482,47.29731,48,14101006,141,0.00352612375429683,8.9555516868476e-4,0.0037228429613684576,0.001364685023992323
453,8.562501,47.29821,79,14101009,141,0.0037083149127373,0.00114411583189837,0.0034183322994732106,9.089930929368135e-4
454,8.56252,47.29911,111,14101009,141,0.00340281632298048,8.5567188100358e-4,0.0034183322994732106,9.089930929368135e-4
455,8.562539,47.30001,33,14101009,141,0.00314136782257846,7.4881025419733e-4,0.0034183322994732106,9.089930929368135e-4
456,8.563501,47.28291,5,14101007,141,2.5846463902816e-4,6.0297570307469e-4,0.00114643712868461,8.615460343631541e-4
457,8.56352,47.28381,6,14101007,141,2.233040082692e-4,7.6366291465748e-4,0.00114643712868461,8.615460343631541e-4
458,8.563577,47.28651,95,14101007,141,7.9787609945902e-4,8.8992185278289e-4,0.00114643712868461,8.615460343631541e-4
459,8.563596,47.2874,157,14101010,141,0.00113366040086826,0.00100642849909071,0.0018090311070793337,0.001138596956149763
460,8.563615,47.2883,168,14101010,141,0.00162250723362526,0.00125255509271123,0.0018090311070793337,0.001138596956149763
461,8.563634,47.2892,102,14101010,141,0.0021167238204556,0.00131963219784783,0.0018090311070793337,0.001138596956149763
462,8.563653,47.2901,121,14101010,141,0.002461620067465,0.00138682828140595,0.0018090311070793337,0.001138596956149763
463,8.563672,47.291,179,14101005,141,0.0032439061923231,0.00156049507492272,0.002905909005742399,0.0014612363827568274
464,8.563691,47.2919,103,14101008,141,0.0036035097863874,0.00161837199240824,0.003870548965471613,0.0015107839011659508
465,8.56371,47.2928,90,14101008,141,0.00388919838868385,0.00151518283778941,0.003870548965471613,0.0015107839011659508
466,8.563729,47.2937,56,14101008,141,0.00405791610604742,0.00152476455015961,0.003870548965471613,0.0015107839011659508
467,8.563748,47.2946,35,14101006,141,0.00417650084663863,0.00149671208702068,0.0037228429613684576,0.001364685023992323
468,8.563767,47.2955,25,14101006,141,0.00420687490528336,0.00135569532939274,0.0037228429613684576,0.001364685023992323
469,8.563786,47.2964,69,14101006,141,0.00417665371501343,0.00125661712187584,0.0037228429613684576,0.001364685023992323
470,8.563804,47.2973,148,14101009,141,0.00382584450827881,0.00105113004587272,0.0034183322994732106,9.089930929368135e-4
471,8.563823,47.2982,50,14101009,141,0.00345763986577622,8.847762308522e-4,0.0034183322994732106,9.089930929368135e-4
472,8.563842,47.2991,12,14101009,141,0.00290639211068882,6.5388891487174e-4,0.0034183322994732106,9.089930929368135e-4
473,8.564842,47.28379,8,14101007,141,0,4.4671010619417e-4,0.00114643712868461,8.615460343631541e-4
474,8.564861,47.28469,3,14101007,141,0,6.7020765726616e-4,0.00114643712868461,8.615460343631541e-4
475,8.56488,47.28559,9,14101007,141,5.7687833188247e-4,8.4048789850619e-4,0.00114643712868461,8.615460343631541e-4
476,8.564899,47.28649,107,14101007,141,8.0682470357319e-4,8.9301563903803e-4,0.00114643712868461,8.615460343631541e-4
477,8.564918,47.28739,72,14101010,141,0.0014313434128917,0.00100371672830785,0.0018090311070793337,0.001138596956149763
478,8.564937,47.28829,82,14101010,141,0.00154051489654344,0.0010235913676149,0.0018090311070793337,0.001138596956149763
479,8.564956,47.28919,28,14101010,141,0.00244662280527199,0.00135178949331468,0.0018090311070793337,0.001138596956149763
480,8.564975,47.29009,110,14101010,141,0.00275127847212695,0.00143348121295511,0.0018090311070793337,0.001138596956149763
481,8.564994,47.29099,83,14101010,141,0.00331062322768704,0.00141454472612617,0.0018090311070793337,0.001138596956149763
482,8.565013,47.29189,54,14101008,141,0.00370829494781349,0.00147836522327695,0.003870548965471613,0.0015107839011659508
483,8.565032,47.29279,64,14101008,141,0.00389714177425161,0.00145205338650936,0.003870548965471613,0.0015107839011659508
484,8.565051,47.29369,50,14101008,141,0.0041079527299072,0.00129346727767071,0.003870548965471613,0.0015107839011659508
485,8.56507,47.29459,22,14101008,141,0.00416278247501398,0.00131082890537566,0.003870548965471613,0.0015107839011659508
486,8.565089,47.29549,22,14101009,141,0.00415836514846277,0.00116812279964526,0.0034183322994732106,9.089930929368135e-4
487,8.565107,47.29639,64,14101009,141,0.00387108917611025,9.3327771458606e-4,0.0034183322994732106,9.089930929368135e-4
488,8.565126,47.29728,89,14101009,141,0.00345105029439825,8.3569546925703e-4,0.0034183322994732106,9.089930929368135e-4
489,8.566031,47.27749,3,14101012,141,3.5497381679915e-4,4.7311440942028e-4,7.478943242087212e-4,9.552562874895438e-4
490,8.56605,47.27839,10,13701001,137,2.9499533245764e-4,3.9571818537322e-4,5.678864776612664e-4,8.56909960488021e-4
491,8.566164,47.28378,4,14101012,141,2.2245943881595e-4,6.0411983649926e-4,7.478943242087212e-4,9.552562874895438e-4
492,8.566182,47.28468,3,14101007,141,2.7326791362518e-4,7.3466590672557e-4,0.00114643712868461,8.615460343631541e-4
493,8.566201,47.28558,10,14101007,141,5.7273378511328e-4,8.3725054891652e-4,0.00114643712868461,8.615460343631541e-4
494,8.56622,47.28648,77,14101007,141,0.00105812770303436,0.00112437843235068,0.00114643712868461,8.615460343631541e-4
495,8.566239,47.28738,34,14101010,141,0.00151055660920154,0.00101253456965958,0.0018090311070793337,0.001138596956149763
496,8.566258,47.28828,132,14101010,141,0.00184661635059527,0.00102205519567138,0.0018090311070793337,0.001138596956149763
497,8.566277,47.28918,79,14101010,141,0.00221123883306539,0.00129753012407635,0.0018090311070793337,0.001138596956149763
498,8.566296,47.29008,73,14101010,141,0.0028246674666084,0.00133733984616472,0.0018090311070793337,0.001138596956149763
499,8.566315,47.29098,30,14101010,141,0.00327249137184171,0.00135365585771684,0.0018090311070793337,0.001138596956149763
500,8.566334,47.29188,34,14101008,141,0.00337046815104715,0.0013253189379771,0.003870548965471613,0.0015107839011659508
501,8.566353,47.29278,112,14101008,141,0.0039049210387936,0.00131670690175549,0.003870548965471613,0.0015107839011659508
